Year,NOC,Gold,Silver,Bronze,Total,Historical_Total_Medals,Historical_Gold_Medals,Is_Host,Participant_Count,Is_Participated,Previous_Medals,Previous_Participants,Past_Medal_Efficiency,Previous_Gold,Previous_Silver,Previous_Bronze,Previous_Total
1896,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1900,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1932,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1936,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,25.0,1,0.0,16.0,0.0,0.0,0.0,0.0,0.0
1952,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
1956,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,12.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,16.0,1,0.0,12.0,0.0,0.0,0.0,0.0,0.0
1964,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,1,0.0,16.0,0.0,0.0,0.0,0.0,0.0
1968,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1,0.0,8.0,0.0,0.0,0.0,0.0,0.0
1972,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,1,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1976,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
1980,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
1988,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1996,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2004,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,Afghanistan,0.0,0.0,1.0,1.0,0.0,0.0,0,4.0,1,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2012,Afghanistan,0.0,0.0,1.0,1.0,1.0,0.0,0,6.0,1,1.0,4.0,0.25,0.0,0.0,1.0,1.0
2016,Afghanistan,0.0,0.0,0.0,0.0,2.0,0.0,0,3.0,1,1.0,6.0,0.16666666666666666,0.0,0.0,1.0,1.0
2020,Afghanistan,0.0,0.0,0.0,0.0,2.0,0.0,0,5.0,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2024,Afghanistan,0.0,0.0,0.0,0.0,2.0,0.0,0,7.0,1,0.0,5.0,0.0,0.0,0.0,0.0,0.0
1896,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
1900,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1904,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1908,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1912,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1920,Albania,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
