NOC,2024_Previous_Total,Predicted_Medals_Previous_Total_2028
United States,113.0,133.73419519975448
Russia,71.0,66.9085394601479
Germany,37.0,38.31742676921923
Great Britain,64.0,60.715180829702646
France,33.0,34.295132943712154
China,89.0,92.05263169538075
Italy,40.0,40.44339173313744
Australia,46.0,45.75379553367458
Hungary,20.0,20.20661367312097
Sweden,9.0,9.133857747480986
Japan,58.0,57.35523582687821
Canada,24.0,24.162655434248872
Netherlands,36.0,35.7288100712928
Romania,4.0,3.9909965122812783
Finland,2.0,1.9937042567470211
Poland,14.0,13.994982435305738
South Korea,20.0,19.963463607555457
Cuba,15.0,14.753794736083771
Bulgaria,6.0,5.987860192000239
Czech Republic,11.0,10.981130203517036
Switzerland,13.0,12.987166512347194
Denmark,11.0,10.975854653080447
Spain,17.0,17.17964255106625
Norway,8.0,7.995170140741307
Belgium,7.0,7.012966234816285
Brazil,21.0,20.95685663744641
Ukraine,19.0,18.96057064929912
New Zealand,20.0,19.97032432286821
Greece,4.0,3.9856206242881083
Serbia,9.0,8.970545497527462
Kenya,10.0,9.978406647590075
Turkey,13.0,12.961757281004466
Austria,7.0,6.986927300893021
South Africa,3.0,2.986603946098625
Jamaica,9.0,8.980691478345255
Belarus,7.0,6.983129782065245
Argentina,3.0,2.981733515717423
Iran,7.0,6.983129782065245
Mexico,4.0,3.982994638304311
Kazakhstan,8.0,7.9761749454823825
Ethiopia,4.0,3.9860638332609963
North Korea,0.0,-0.00115808468088883
Azerbaijan,7.0,6.983129782065245
Croatia,8.0,7.979648271930344
Georgia,8.0,9.502751433952573
Egypt,6.0,6.00694486876494
Indonesia,5.0,4.985913488472415
Estonia,2.0,1.9925690965545153
Uzbekistan,5.0,4.9897110073001905
Thailand,2.0,1.988328368753851
Ireland,4.0,3.99049105466931
Chinese Taipei,12.0,11.952146048202096
India,7.0,6.986927300893021
Colombia,5.0,4.9897110073001905
Slovakia,4.0,3.9860638332609963
Mongolia,4.0,3.9860638332609963
Slovenia,5.0,4.9897110073001905
Portugal,4.0,3.9856206242881083
Nigeria,2.0,1.9921258875816277
Lithuania,1.0,0.9880052560708835
Morocco,1.0,0.9901875633039662
Latvia,2.0,1.9925690965545153
Venezuela,4.0,3.9860638332609963
Trinidad and Tobago,0.0,-0.00115808468088883
Armenia,4.0,3.822341187088129
Algeria,0.0,-0.00115808468088883
Bahamas,2.0,1.9925690965545153
Tunisia,2.0,1.988328368753851
Philippines,4.0,3.9860638332609963
Israel,4.0,3.9856206242881083
Chile,0.0,-0.00115808468088883
Malaysia,2.0,1.988328368753851
Dominican Republic,5.0,4.985913488472415
Uganda,4.0,3.9860638332609963
Pakistan,0.0,-0.00115808468088883
Uruguay,0.0,-0.00115808468088883
Puerto Rico,1.0,0.9928135492877641
Hong Kong,6.0,5.98248430400707
Qatar,3.0,2.9396125909211857
Zimbabwe,0.0,-0.00115808468088883
Kyrgyzstan,3.0,2.9396125909211857
Moldova,1.0,0.9928135492877641
Cameroon,0.0,-0.00115808468088883
Singapore,0.0,-0.00115808468088883
Vietnam,0.0,-0.00115808468088883
Namibia,1.0,0.9970542770884281
Ecuador,3.0,2.986985017907191
Ghana,1.0,0.9970542770884281
Iceland,0.0,-0.00115808468088883
Bahrain,1.0,0.9928135492877641
Lebanon,0.0,-0.00115808468088883
Ivory Coast,1.0,0.9928135492877641
Tajikistan,0.0,-0.00115808468088883
Saudi Arabia,1.0,0.9928135492877641
Syria,1.0,1.0278681377832608
Costa Rica,0.0,-0.00115808468088883
Peru,0.0,-0.00115808468088883
Panama,0.0,-0.00115808468088883
Luxembourg,0.0,-0.00115808468088883
Grenada,1.0,1.0278681377832608
Fiji,2.0,1.9925690965545153
Kuwait,1.0,0.9970542770884281
Kosovo,2.0,1.945196669568511
Jordan,2.0,1.9925690965545153
San Marino,3.0,2.7618078501102112
Tanzania,0.0,-0.00115808468088883
United Arab Emirates,0.0,-0.00115808468088883
Niger,0.0,-0.00115808468088883
Afghanistan,0.0,-0.00115808468088883
Haiti,0.0,-0.00115808468088883
Botswana,1.0,0.9970542770884281
Mozambique,0.0,-0.00115808468088883
Burundi,0.0,-0.00115808468088883
Bermuda,1.0,0.7929764923546677
Suriname,0.0,-0.00115808468088883
British West Indies,0.0,-0.00115808468088883
Sri Lanka,0.0,-0.00115808468088883
Zambia,0.0,-0.00115808468088883
Paraguay,0.0,-0.00115808468088883
Macedonia,0.0,-0.00115808468088883
Mauritius,0.0,-0.00115808468088883
Gabon,0.0,-0.00115808468088883
Senegal,0.0,-0.00115808468088883
North Macedonia,1.0,0.7991444864457072
Montenegro,0.0,-0.00115808468088883
Cyprus,0.0,-0.00115808468088883
Guyana,0.0,-0.00115808468088883
Samoa,0.0,-0.00115808468088883
Turkmenistan,1.0,0.9970542770884281
Taiwan,0.0,-0.00115808468088883
Barbados,0.0,-0.00115808468088883
Tonga,0.0,-0.00115808468088883
Togo,0.0,-0.00115808468088883
Virgin Islands,0.0,-0.00115808468088883
Guatemala,0.0,-0.00115808468088883
Djibouti,0.0,-0.00115808468088883
Eritrea,0.0,-0.00115808468088883
Iraq,0.0,-0.00115808468088883
Burkina Faso,1.0,0.9970542770884281
Sudan,0.0,-0.00115808468088883
Dominica,0.0,-0.00115808468088883
Cabo Verde,0.0,-0.00115808468088883
Albania,0.0,-0.00115808468088883
Saint Lucia,0.0,-0.00115808468088883
