NOC,2024_Silver,Predicted_Medals_Silver_2028
United States,44.0,26.251801771901782
Russia,0.0,20.36313740881474
Germany,13.0,16.21925271544952
Great Britain,22.0,24.98402064563527
France,26.0,21.936596839490615
China,27.0,17.079523205905456
Italy,13.0,14.254611320253117
Australia,19.0,14.691218659064953
Hungary,7.0,8.769578688942762
Sweden,4.0,7.87750300321978
Japan,12.0,21.922331940687183
Canada,7.0,5.744800213331416
Netherlands,7.0,9.436806218260344
Romania,4.0,2.8916688904120376
Finland,0.0,2.8121081588093055
Poland,4.0,4.954854808348887
South Korea,9.0,5.602489623359649
Cuba,1.0,1.3515996692286179
Bulgaria,1.0,1.5843272725709256
Czech Republic,0.0,3.167584331648169
Switzerland,2.0,5.058855941472603
Denmark,2.0,3.30340119348834
Spain,4.0,4.179798994169454
Norway,1.0,2.076115851334099
Belgium,1.0,2.809207349682417
Brazil,7.0,6.629440814077763
Ukraine,5.0,7.808259928899954
New Zealand,7.0,5.796269997642101
Greece,1.0,1.3953146785870842
Serbia,1.0,2.7817464499348574
Kenya,2.0,2.2507021623381416
Turkey,3.0,2.776246782565411
Austria,0.0,2.2028476915923143
South Africa,3.0,1.24347572867187
Jamaica,3.0,2.2523246595334188
Belarus,0.0,4.500153810838626
Argentina,1.0,1.1326188051723756
Iran,6.0,2.01272355674844
Mexico,3.0,1.3582706964308446
Kazakhstan,3.0,2.3447704930656346
Ethiopia,3.0,1.2634403013768976
North Korea,2.0,0.8920035649651069
Azerbaijan,2.0,1.9151458001995008
Croatia,2.0,1.9442157475151074
Georgia,3.0,1.7528975661553259
Egypt,1.0,2.0808946105118427
Indonesia,0.0,1.71738414114636
Estonia,0.0,1.0845066357681965
Uzbekistan,2.0,1.9129359330149687
Thailand,3.0,1.1256008366396246
Ireland,0.0,1.5269567353934481
Chinese Taipei,0.0,2.6688470582189887
India,1.0,2.411859947168077
Colombia,3.0,1.72660663721687
Slovakia,0.0,1.3045345022483257
Mongolia,1.0,1.3963441314381702
Slovenia,1.0,1.8525324708349145
Portugal,2.0,1.3435229101943125
Nigeria,0.0,1.0374024148888248
Lithuania,2.0,0.9389070306306098
Morocco,0.0,0.9540076971912916
Latvia,0.0,0.6160585690120686
Venezuela,0.0,0.979123348488997
Trinidad and Tobago,0.0,0.42074610366590254
Armenia,3.0,0.708209413447081
Algeria,0.0,0.4618403045373307
Bahamas,0.0,0.7518218551769444
Tunisia,1.0,0.6564855763393312
Philippines,0.0,1.0202175493604255
Israel,5.0,1.1560446927537922
Chile,1.0,0.4618403045373307
Malaysia,0.0,0.6183803588251567
Dominican Republic,0.0,1.2792031423505996
Uganda,1.0,1.0419768584880142
Pakistan,0.0,0.42074610366590254
Uruguay,0.0,0.42074610366590254
Puerto Rico,0.0,0.586116980000952
Hong Kong,0.0,1.698292458868916
Qatar,0.0,-0.10349479954769783
Zimbabwe,0.0,0.42074610366590254
Kyrgyzstan,2.0,-0.2044535270608888
Moldova,1.0,0.3762256551282625
Cameroon,0.0,0.2900541971788155
Singapore,0.0,0.1338891888867841
Vietnam,0.0,0.1338891888867841
Namibia,0.0,0.2525434156748279
Ecuador,2.0,0.9407177862074431
Ghana,0.0,0.2525434156748279
Iceland,0.0,0.1338891888867841
Bahrain,1.0,0.22006064683623114
Lebanon,0.0,0.1338891888867841
Ivory Coast,0.0,0.22006064683623114
Tajikistan,0.0,0.1338891888867841
Saudi Arabia,0.0,0.22006064683623114
Syria,0.0,0.22840029332282816
Costa Rica,0.0,0.1338891888867841
Peru,0.0,0.1338891888867841
Panama,1.0,0.1338891888867841
Luxembourg,0.0,0.1338891888867841
Grenada,0.0,0.22840029332282816
Fiji,1.0,0.5164259865734426
Kuwait,0.0,0.2525434156748279
Kosovo,1.0,-0.47009547418795244
Jordan,1.0,0.47832076905926824
San Marino,0.0,-0.7783985225445071
Tanzania,0.0,0.08748030775796545
United Arab Emirates,0.0,0.08748030775796545
Niger,0.0,0.08748030775796545
Afghanistan,0.0,0.08748030775796545
Haiti,0.0,0.08748030775796545
Botswana,1.0,0.20613453454600925
Mozambique,0.0,0.08748030775796545
Burundi,0.0,0.08748030775796545
Bermuda,0.0,0.31158839199976257
Suriname,0.0,0.08748030775796545
British West Indies,0.0,0.08748030775796545
Sri Lanka,0.0,0.08748030775796545
Zambia,0.0,0.08748030775796545
Paraguay,0.0,0.08748030775796545
Macedonia,0.0,0.08748030775796545
Mauritius,0.0,0.08748030775796545
Gabon,0.0,0.08748030775796545
Senegal,0.0,0.08748030775796545
North Macedonia,0.0,-0.8264065432549782
Montenegro,0.0,0.08748030775796545
Cyprus,1.0,0.08748030775796545
Guyana,0.0,0.08748030775796545
Samoa,0.0,0.08748030775796545
Turkmenistan,0.0,0.20613453454600925
Taiwan,0.0,0.08748030775796545
Barbados,0.0,0.08748030775796545
Tonga,0.0,0.08748030775796545
Togo,0.0,0.08748030775796545
Virgin Islands,0.0,0.08748030775796545
Guatemala,0.0,0.08748030775796545
Djibouti,0.0,0.08748030775796545
Eritrea,0.0,0.08748030775796545
Iraq,0.0,0.08748030775796545
Burkina Faso,0.0,0.20613453454600925
Sudan,0.0,0.08748030775796545
Dominica,0.0,0.07863718254639813
Cabo Verde,0.0,0.07863718254639813
Albania,0.0,0.07863718254639813
Saint Lucia,1.0,0.07863718254639813
