NOC,2024_Total,Predicted_Medals_Total_2028
United States,126.0,86.59101938862214
Russia,0.0,71.59098163013229
Germany,33.0,53.69888130842594
Great Britain,65.0,86.32666645722013
France,64.0,68.69124388438163
China,91.0,66.54029875589666
Italy,40.0,45.6130821891193
Australia,53.0,35.26156299795684
Hungary,19.0,27.06826505205437
Sweden,11.0,19.790666010243317
Japan,45.0,60.68609995561602
Canada,27.0,20.56403755708683
Netherlands,34.0,26.682477631905336
Romania,9.0,10.649573794544832
Finland,0.0,11.414813652471278
Poland,10.0,15.61511506244234
South Korea,32.0,18.77294594732449
Cuba,9.0,12.666829007120509
Bulgaria,7.0,5.890159630719204
Czech Republic,5.0,10.335874000567312
Switzerland,8.0,12.984696921195573
Denmark,9.0,9.925298435585127
Spain,18.0,12.204969997697576
Norway,8.0,6.58797373352551
Belgium,10.0,6.7515219211022774
Brazil,20.0,23.507812797744027
Ukraine,12.0,18.675646766412697
New Zealand,20.0,18.89882095549916
Greece,8.0,4.703768121766561
Serbia,5.0,8.614651780001989
Kenya,11.0,8.127236970984814
Turkey,8.0,9.065090157220837
Austria,5.0,6.243002314308974
South Africa,6.0,3.6817047398990193
Jamaica,6.0,7.1585042249233855
Belarus,0.0,13.949639543996017
Argentina,3.0,3.1007499567323573
Iran,12.0,6.463137961351395
Mexico,5.0,3.7702601705443786
Kazakhstan,7.0,6.013799412176064
Ethiopia,4.0,4.3528082382569275
North Korea,6.0,2.7391956262472053
Azerbaijan,7.0,5.594300822790512
Croatia,7.0,6.363074962682925
Georgia,7.0,5.828470499525466
Egypt,3.0,5.815152128730479
Indonesia,3.0,4.454025514788418
Estonia,0.0,3.266177914640646
Uzbekistan,13.0,5.460932375231152
Thailand,6.0,3.3326506066748673
Ireland,7.0,5.033748244327085
Chinese Taipei,7.0,9.597841725386923
India,6.0,6.153429445280854
Colombia,4.0,4.250750622033903
Slovakia,1.0,3.9643192925550452
Mongolia,1.0,3.7272816383956084
Slovenia,3.0,5.460932375231152
Portugal,4.0,3.971857279140153
Nigeria,0.0,3.0688899690413223
Lithuania,4.0,2.5425850689863796
Morocco,2.0,2.9003877527615294
Latvia,0.0,2.7816789393219126
Venezuela,0.0,3.602173755274149
Trinidad and Tobago,0.0,1.741698697375403
Armenia,4.0,2.5510096139071594
Algeria,3.0,1.861791437347332
Bahamas,0.0,2.977130363360154
Tunisia,3.0,2.7280588913842045
Philippines,4.0,3.443546821787438
Israel,7.0,4.146255021909721
Chile,2.0,1.3645554922691912
Malaysia,2.0,1.9074771883045234
Dominican Republic,3.0,3.364357453080592
Uganda,2.0,3.51890550585375
Pakistan,1.0,1.2444627522972624
Uruguay,0.0,1.2444627522972624
Puerto Rico,2.0,1.804301859492148
Hong Kong,4.0,4.377397554516608
Qatar,1.0,0.7364535612593106
Zimbabwe,0.0,1.2444627522972624
Kyrgyzstan,6.0,-0.1007303332711728
Moldova,4.0,0.921327623844014
Cameroon,0.0,0.8393839403962069
Singapore,1.0,0.5182881661193959
Vietnam,0.0,0.5182881661193959
Namibia,0.0,0.6538518975049116
Ecuador,5.0,3.4617905243692353
Ghana,0.0,0.6538518975049116
Iceland,0.0,0.4144834669972725
Bahrain,4.0,0.49642715044507985
Lebanon,0.0,0.4144834669972725
Ivory Coast,1.0,0.49642715044507985
Tajikistan,3.0,0.4144834669972725
Saudi Arabia,0.0,0.49642715044507985
Syria,0.0,0.5500471983827884
Costa Rica,0.0,0.4144834669972725
Peru,1.0,0.45012406497897345
Panama,1.0,0.3288478484875325
Luxembourg,0.0,0.3288478484875325
Grenada,2.0,0.4644115798730483
Fiji,1.0,1.9390878345946172
Kuwait,0.0,0.4644115798730483
Kosovo,2.0,-0.5447070493730937
Jordan,1.0,1.3026505015427623
San Marino,0.0,-1.749681340956501
Tanzania,0.0,0.3052231879647719
United Arab Emirates,0.0,0.3052231879647719
Niger,0.0,0.3052231879647719
Afghanistan,0.0,0.3052231879647719
Haiti,0.0,0.3052231879647719
Botswana,2.0,0.4764275173319887
Mozambique,0.0,0.3052231879647719
Burundi,0.0,0.3052231879647719
Bermuda,0.0,-0.5235823066517026
Suriname,0.0,0.3052231879647719
British West Indies,0.0,0.3052231879647719
Sri Lanka,0.0,0.3052231879647719
Zambia,1.0,0.34086378594647293
Paraguay,0.0,0.34086378594647293
Macedonia,0.0,0.3052231879647719
Mauritius,0.0,0.3052231879647719
Gabon,0.0,0.3052231879647719
Senegal,0.0,0.3052231879647719
North Macedonia,0.0,-2.5593960275591154
Montenegro,0.0,0.34086378594647293
Cyprus,1.0,0.34086378594647293
Guyana,0.0,0.3052231879647719
Samoa,0.0,0.34086378594647293
Turkmenistan,0.0,0.4407869193502877
Taiwan,0.0,0.3052231879647719
Barbados,0.0,0.3052231879647719
Tonga,0.0,0.3052231879647719
Togo,0.0,0.3052231879647719
Virgin Islands,0.0,0.3052231879647719
Guatemala,2.0,0.3052231879647719
Djibouti,0.0,0.3052231879647719
Eritrea,0.0,0.3052231879647719
Iraq,0.0,0.34086378594647293
Burkina Faso,0.0,0.4407869193502877
Sudan,0.0,0.3052231879647719
Dominica,1.0,0.24922928140225897
Cabo Verde,1.0,0.24922928140225897
Albania,2.0,0.24922928140225897
Saint Lucia,2.0,0.24922928140225897
